ID,X Coordinate,Y Coordinate,Bed Level,Manning's n,Panel
15,591923.342,329339.382,34.68,0.02,
15,591923.487,329338.911,34.68,0.02,
15,591923.631,329338.44,34.68,0.02,
15,591923.776,329337.969,34.59,0.02,
15,591923.921,329337.498,34.59,0.02,
15,591924.066,329337.026,34.51,0.02,
15,591924.211,329336.555,34.3,0.02,
15,591924.355,329336.084,34.3,0.02,
15,591924.5,329335.613,34.19,0.02,
15,591924.645,329335.142,34.19,0.02,
15,591924.79,329334.671,34.19,0.02,
15,591924.935,329334.2,34.19,0.02,
15,591925.079,329333.729,34.19,0.02,
15,591925.224,329333.258,34.19,0.02,
15,591925.369,329332.787,34.19,0.02,
15,591925.514,329332.316,34.19,0.02,
15,591925.659,329331.845,34.092,0.02,
15,591925.803,329331.373,34.092,0.02,
15,591925.948,329330.902,34.093,0.02,
15,591926.093,329330.431,34.19,0.02,
15,591926.238,329329.96,34.095,0.02,
15,591926.383,329329.489,34.095,0.02,
15,591926.528,329329.018,34.095,0.02,
15,591926.672,329328.547,34.097,0.02,
15,591926.817,329328.076,34.097,0.02,
15,591926.962,329327.605,34.11,0.02,
15,591927.107,329327.134,34.2,0.02,
15,591927.252,329326.663,34.25,0.02,
15,591927.396,329326.192,34.25,0.02,
15,591927.541,329325.72,34.31,0.02,
15,591927.686,329325.249,34.31,0.02,
15,591927.831,329324.778,34.36,0.02,
15,591927.976,329324.307,34.36,0.02,
15,591928.12,329323.836,34.52,0.02,
15,591928.265,329323.365,34.52,0.02,
15,591928.41,329322.894,34.76,0.02,
15,591928.555,329322.423,34.76,0.02,
15,591928.7,329321.952,34.91,0.02,
16,591960.7,329346.115,34.12,0.02,
16,591960.754,329345.625,34.13,0.02,
16,591960.809,329345.136,34.13,0.02,
16,591960.863,329344.646,34.12,0.02,
16,591960.917,329344.156,34.12,0.02,
16,591960.972,329343.666,34.14,0.02,
16,591961.026,329343.176,34.1,0.02,
16,591961.081,329342.687,33.19,0.02,
16,591961.135,329342.197,33.19,0.02,
16,591961.189,329341.707,32.79,0.02,
16,591961.244,329341.217,32.79,0.02,
16,591961.298,329340.727,32.78,0.02,
16,591961.353,329340.238,32.78,0.02,
16,591961.407,329339.748,32.75,0.02,
16,591961.462,329339.258,32.75,0.02,
16,591961.516,329338.768,32.79,0.02,
16,591961.57,329338.278,32.79,0.02,
16,591961.625,329337.789,32.78,0.02,
16,591961.679,329337.299,32.78,0.02,
16,591961.734,329336.809,32.78,0.02,
16,591961.788,329336.319,32.78,0.02,
16,591961.843,329335.829,32.81,0.02,
16,591961.897,329335.34,32.81,0.02,
16,591961.951,329334.85,32.83,0.02,
16,591962.006,329334.36,32.8,0.02,
16,591962.06,329333.87,32.83,0.02,
16,591962.115,329333.38,32.83,0.02,
16,591962.169,329332.891,33.08,0.02,
16,591962.224,329332.401,33.08,0.02,
16,591962.278,329331.911,33.33,0.02,
16,591962.332,329331.421,33.33,0.02,
16,591962.387,329330.931,33.78,0.02,
16,591962.441,329330.442,33.78,0.02,
16,591962.496,329329.952,34.14,0.02,
16,591962.55,329329.462,34.14,0.02,
16,591962.604,329328.972,34.28,0.02,
16,591962.659,329328.482,34.28,0.02,
17,592028.166,329323.697,34.52,0.02,
17,592027.851,329323.311,34.47,0.02,
17,592027.535,329322.925,34.43,0.02,
17,592027.22,329322.539,34.43,0.02,
17,592026.904,329322.153,34.4,0.02,
17,592026.589,329321.766,34.36,0.02,
17,592026.273,329321.38,34.36,0.02,
17,592025.958,329320.994,34.03,0.02,
17,592025.642,329320.608,34.03,0.02,
17,592025.327,329320.222,34.03,0.02,
17,592025.011,329319.836,33.54,0.02,
17,592024.696,329319.45,33.44,0.02,
17,592024.38,329319.064,33.44,0.02,
17,592024.065,329318.678,33.15,0.02,
17,592023.749,329318.292,33.07,0.02,
17,592023.434,329317.906,32.94,0.02,
17,592023.118,329317.52,32.94,0.02,
