_date,total_clones,unique_clones
2021-03-03,7,5
2021-03-04,3,3
2021-03-05,4,3
2021-03-08,3,1
2021-03-09,2,1
2021-03-10,1,1
2021-03-18,4,3
2021-03-19,1,1
2021-03-29,2,1
2021-03-30,2,1
2021-04-01,3,1
2021-04-05,1,1
2021-04-07,1,1
2021-04-09,5,2
2021-04-13,1,1
2021-04-17,1,1
2021-04-20,1,1
2021-04-21,3,2
2021-05-10,1,1
2021-05-13,1,1
2021-05-14,3,2
2021-05-20,5,5
2021-05-27,7,6
2021-05-30,1,1
2021-06-07,1,1
2021-06-08,6,4
2021-06-10,4,4
2021-06-13,1,1
2021-06-14,1,1
2021-06-17,8,7
2021-06-24,1,1
2021-06-27,1,1
2021-06-30,2,2
2021-07-01,1,1
2021-07-05,4,3
2021-07-06,5,3
2021-07-08,2,2
2021-07-12,5,5
2021-07-13,1,1
2021-07-15,1,1
2021-07-20,2,2
2021-07-22,7,5
2021-07-27,7,6
2021-07-28,9,5
2021-07-29,3,3
2021-08-02,7,5
2021-08-05,18,9
2021-08-13,1,1
2021-08-16,3,3
2021-08-17,3,2
2021-08-20,1,1
2021-08-31,1,1
2021-09-03,1,1
2021-09-06,1,1
2021-09-07,2,2
2021-09-08,3,3
2021-09-09,7,3
2021-09-10,2,2
2021-09-13,2,2
2021-09-14,2,2
2021-09-15,2,2
2021-09-16,2,1
2021-09-21,1,1
2021-09-23,1,1
2021-09-24,4,2
2021-09-27,3,2
2021-09-28,1,1
2021-09-29,6,1
2021-10-05,1,1
2021-10-06,8,5
2021-10-10,1,1
2021-10-14,1,1
2021-10-16,1,1
2021-10-20,23,5
2021-10-21,3,3
2021-10-22,1,1
2021-10-23,17,4
2021-10-25,6,4
2021-10-26,25,6
2021-10-28,6,2
2021-11-06,1,1
2021-11-07,1,1
2021-11-13,1,1
2021-11-18,7,4
2021-11-19,5,4
2021-11-22,9,4
2021-11-25,1,1
2021-11-29,2,2
2021-11-30,3,2
2021-12-05,1,1
2021-12-10,1,1
2021-12-11,1,1
2021-12-14,1,1
2021-12-16,1,1
2021-12-21,1,1
2021-12-23,6,5
2022-01-03,3,1
2022-01-05,3,3
2022-01-06,3,1
2022-01-07,5,3
2022-01-09,2,1
2022-01-13,3,2
2022-01-15,1,1
2022-01-16,1,1
2022-01-20,5,4
2022-01-22,1,1
2022-01-24,5,5
2022-01-25,1,1
2022-01-26,3,1
2022-01-27,1,1
2022-02-08,8,4
2022-02-10,2,2
2022-02-11,3,2
2022-02-12,1,1
2022-02-14,14,5
2022-02-15,5,4
2022-02-23,1,1
2022-02-24,1,1
2022-02-26,1,1
2022-03-01,5,4
2022-03-02,1,1
2022-03-04,4,4
2022-03-06,1,1
2022-03-08,2,2
2022-03-09,2,1
2022-03-12,1,1
2022-03-14,1,1
2022-03-16,2,1
2022-03-17,192,8
2022-03-18,78,17
2022-03-19,1,1
2022-03-28,1,1
2022-03-30,192,8
2022-04-04,2,2
2022-04-05,3,2
2022-04-08,1,1
2022-04-10,1,1
2022-04-13,7,3
2022-04-20,21,7
2022-04-21,3,2
2022-04-22,9,4
2022-04-26,7,4
2022-04-28,25,8
2022-04-29,5,3
2022-04-30,2,1
2022-05-01,4,2
2022-05-04,1,1
2022-05-05,10,5
2022-05-06,10,4
2022-05-07,4,2
2022-05-10,9,4
2022-05-11,9,4
2022-05-12,1,1
2022-05-13,2,1
2022-05-15,2,1
2022-05-16,2,1
2022-05-18,11,6
2022-05-22,2,1
2022-05-24,8,5
2022-05-27,5,4
2022-05-30,10,6
2022-06-03,4,2
2022-06-04,2,1
2022-06-06,239,8
2022-06-07,3,2
2022-06-08,5,4
2022-06-10,1,1
2022-06-11,2,1
2022-06-13,4,2
2022-06-14,1,1
2022-06-20,2,1
2022-06-21,2,2
2022-06-24,2,2
2022-06-26,1,1
2022-06-27,1,1
2022-07-04,1,1
2022-07-06,6,4
2022-07-08,4,2
2022-07-09,1,1
2022-07-14,1,1
2022-07-27,3,2
2022-07-31,1,1
2022-08-04,1,1
2022-08-10,1,1
2022-08-14,1,1
2022-08-16,4,3
2022-08-17,1,1
2022-08-23,4,3
2022-08-27,1,1
2022-08-31,5,4
2022-09-01,1,1
2022-09-05,1,1
2022-09-08,1,1
2022-09-09,1,1
2022-09-21,2,2
2022-09-22,4,4
2022-09-23,2,1
2022-09-25,2,1
2022-09-30,1,1
2022-10-04,5,3
2022-10-08,1,1
2022-10-09,4,2
2022-10-12,9,5
