_date,total_views,unique_views
2021-03-03,36,2
2021-03-04,38,4
2021-03-05,51,1
2021-03-08,6,1
2021-03-09,73,5
2021-03-10,25,4
2021-03-11,8,2
2021-03-12,13,6
2021-03-15,1,1
2021-03-16,49,6
2021-03-17,15,3
2021-03-18,74,2
2021-03-19,1,1
2021-03-20,12,1
2021-03-22,1,1
2021-03-23,1,1
2021-03-25,14,1
2021-03-27,3,1
2021-03-29,40,3
2021-03-30,51,7
2021-03-31,6,2
2021-04-01,20,1
2021-04-06,1,1
2021-04-07,24,4
2021-04-08,20,2
2021-04-09,57,3
2021-04-12,35,3
2021-04-15,1,1
2021-04-16,2,1
2021-04-19,8,2
2021-04-20,37,2
2021-04-23,1,1
2021-04-29,12,2
2021-04-30,9,1
2021-05-05,4,2
2021-05-10,17,5
2021-05-11,30,1
2021-05-12,11,3
2021-05-13,80,3
2021-05-14,9,3
2021-05-17,3,1
2021-05-18,34,2
2021-05-20,26,4
2021-05-24,12,2
2021-05-27,70,1
2021-06-02,25,3
2021-06-04,7,1
2021-06-07,9,2
2021-06-08,53,5
2021-06-09,93,13
2021-06-10,113,16
2021-06-11,54,10
2021-06-13,16,2
2021-06-14,146,9
2021-06-15,9,6
2021-06-16,43,7
2021-06-17,164,13
2021-06-18,10,6
2021-06-20,1,1
2021-06-21,43,7
2021-06-22,41,10
2021-06-23,11,4
2021-06-24,33,5
2021-06-25,95,9
2021-06-28,144,13
2021-06-29,48,5
2021-06-30,95,12
2021-07-01,37,7
2021-07-02,84,10
2021-07-05,93,9
2021-07-06,84,6
2021-07-07,22,7
2021-07-08,46,4
2021-07-09,13,2
2021-07-12,81,8
2021-07-13,73,10
2021-07-14,13,5
2021-07-15,46,7
2021-07-16,60,6
2021-07-19,67,10
2021-07-20,69,13
2021-07-21,20,5
2021-07-22,44,9
2021-07-23,42,8
2021-07-26,15,6
2021-07-27,140,9
2021-07-28,56,7
2021-07-29,83,9
2021-07-30,4,2
2021-08-02,79,6
2021-08-03,45,9
2021-08-04,26,6
2021-08-05,92,3
2021-08-06,15,4
2021-08-08,2,2
2021-08-09,8,4
2021-08-10,23,8
2021-08-11,62,8
2021-08-12,2,2
2021-08-13,2,1
2021-08-14,11,2
2021-08-16,39,6
2021-08-17,44,13
2021-08-18,41,9
2021-08-19,11,3
2021-08-20,30,4
2021-08-22,5,1
2021-08-23,35,7
2021-08-24,10,4
2021-08-25,31,6
2021-08-26,34,7
2021-08-27,15,4
2021-08-28,15,1
2021-08-29,2,2
2021-08-30,20,7
2021-08-31,55,9
2021-09-01,37,10
2021-09-02,65,14
2021-09-03,45,5
2021-09-04,10,1
2021-09-06,23,2
2021-09-07,83,14
2021-09-08,83,14
2021-09-09,211,11
2021-09-10,37,5
2021-09-11,2,1
2021-09-12,34,3
2021-09-13,91,8
2021-09-14,153,14
2021-09-15,29,6
2021-09-16,79,8
2021-09-17,12,5
2021-09-18,5,1
2021-09-19,3,1
2021-09-20,48,10
2021-09-21,72,13
2021-09-22,17,4
2021-09-23,25,5
2021-09-24,63,6
2021-09-26,1,1
2021-09-27,41,5
2021-09-28,25,8
2021-09-29,46,6
2021-09-30,19,4
2021-10-01,24,5
2021-10-02,1,1
2021-10-03,1,1
2021-10-04,62,5
2021-10-05,27,3
2021-10-06,69,10
2021-10-07,30,7
2021-10-08,18,6
2021-10-11,34,6
2021-10-12,18,9
2021-10-13,69,9
2021-10-14,65,9
2021-10-15,6,3
2021-10-17,52,5
2021-10-18,9,3
2021-10-19,26,11
2021-10-20,80,7
2021-10-21,39,6
2021-10-22,72,5
2021-10-24,2,1
2021-10-25,107,8
2021-10-26,37,3
2021-10-27,3,3
2021-10-28,62,6
2021-10-29,4,4
2021-11-01,14,2
2021-11-02,2,1
2021-11-03,13,3
2021-11-04,7,3
2021-11-05,11,3
2021-11-07,12,1
2021-11-08,25,4
2021-11-09,50,9
2021-11-10,18,6
2021-11-11,15,3
2021-11-12,97,9
2021-11-13,38,2
2021-11-14,1,1
2021-11-15,80,9
2021-11-16,62,10
2021-11-17,123,10
2021-11-18,67,9
2021-11-19,67,9
2021-11-20,12,2
2021-11-21,31,4
2021-11-22,65,14
2021-11-23,19,6
2021-11-24,8,3
